Altium Designer Pick and Place Locations
H:\PCB-Reviews\2023\Victor Kartsch\gap9_deck_v2\Fabrication\Pick Place\Pick Place for Crazyflie_Shield.txt

========================================================================================================================
File Design Information:

Date:       26/07/23
Time:       15:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                      Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
C63        CL05A106MP5NUNC              TopLayer    FP-CL05A106MP5NUNC-MFG     178.043       157.996       0        "CAP CER 10UF 10V X5R 0402"                                                                                                                  
R43        DNM                          TopLayer    FP-ERJ1GN-IPC_A            192.913       -133.858      90       "RES SMD 100K OHM 1% 1/20W 0201"                                                                                                             
R42        DNM                          TopLayer    FP-ERJ1GN-IPC_A            223.560       137.193       270      "RES SMD 100K OHM 1% 1/20W 0201"                                                                                                             
R41        ERJ-1GNF1003C                TopLayer    FP-ERJ1GN-IPC_A            218.504       -133.858      270      "RES SMD 100K OHM 1% 1/20W 0201"                                                                                                             
R40        ERJ-1GNF1003C                TopLayer    FP-ERJ1GN-IPC_A            246.063       125.984       90       "RES SMD 100K OHM 1% 1/20W 0201"                                                                                                             
R54        CRCW020110K0FNED             TopLayer    RESC0603X28X15LL05T05      126.581       -133.640      0        ""                                                                                                                                           
R53        ERJ-1GN0R00C                 TopLayer    FP-ERJ1GN-MFG              166.033       -126.306      270      "RES SMD 0 OHM JUMPER 1/20W 0201"                                                                                                            
U11        TPS22916CLYFPR               TopLayer    FP-YFP0004-IPC_C           162.348       196.057       180      "IC PWR SWITCH P-CHAN 1:1 4DSBGA"                                                                                                            
R44        CRCW04020000Z0EDC            TopLayer    FP-CRCW0402-C-e3-MFG       120.121       155.932       0        "RES 0 OHM JUMPER 1/16W 0402"                                                                                                                
C59        GRM033C81A105ME05D           TopLayer    FP-GRM033-0_09-IPC_C       97.967        213.583       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 1.0uF, X6S, 22%, 20%, 10V"                                                    
R52        CRCW020110K0FNED             TopLayer    RESC0603X28X15LL05T05      574.803       -418.307      270      ""                                                                                                                                           
R51        CRCW020110K0FNED             TopLayer    RESC0603X28X15LL05T05      491.142       -435.039      270      ""                                                                                                                                           
R50        CRCW020110K0FNED             TopLayer    RESC0603X28X15LL05T05      577.756       417.323       90       ""                                                                                                                                           
R49        CRCW020110K0FNED             TopLayer    RESC0603X28X15LL05T05      499.016       425.197       90       ""                                                                                                                                           
R48        CRCW020110K0FNED             BottomLayer RESC0603X28X15LL05T05      -453.933      493.972       270      ""                                                                                                                                           
R47        CRCW020110K0FNED             BottomLayer RESC0603X28X15LL05T05      -447.835      524.606       0        ""                                                                                                                                           
R46        CRCW020110K0FNED             TopLayer    RESC0603X28X15LL05T05      118.359       236.430       180      ""                                                                                                                                           
R45        CRCW020110K0FNED             TopLayer    RESC0603X28X15LL05T05      128.937       204.724       270      ""                                                                                                                                           
C62        GRM033Z71C104KE14D           TopLayer    FP-GRM033-0_03-IPC_B       182.237       131.557       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X7R, 15%, 10%, 16V"                                                   
C61        GRM033Z71C104KE14D           TopLayer    FP-GRM033-0_03-IPC_B       186.694       109.460       0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X7R, 15%, 10%, 16V"                                                   
C60        GRM033Z71C104KE14D           TopLayer    FP-GRM033-0_03-IPC_B       207.893       86.233        0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X7R, 15%, 10%, 16V"                                                   
2V8T       "Test Pad"                   TopLayer    PAD-1.5MM                  -323.988      -497.340      90       "1mm SMT Test Pad"                                                                                                                           
3V3        "Test Pad"                   TopLayer    PAD-1.5MM                  897.867       358.199       90       "1mm SMT Test Pad"                                                                                                                           
IO63       "Test Pad"                   TopLayer    PAD-1.5MM                  415.752       500.984       90       "1mm SMT Test Pad"                                                                                                                           
IO62       "Test Pad"                   TopLayer    PAD-1.5MM                  408.247       -497.916      90       "1mm SMT Test Pad"                                                                                                                           
SDA2       "Test Pad"                   TopLayer    PAD-1.5MM                  -321.850      497.047       90       "1mm SMT Test Pad"                                                                                                                           
SCL2       "Test Pad"                   TopLayer    PAD-1.5MM                  -412.676      495.895       90       "1mm SMT Test Pad"                                                                                                                           
SDA1       "Test Pad"                   TopLayer    PAD-1.5MM                  499.064       495.079       90       "1mm SMT Test Pad"                                                                                                                           
SCL1       "Test Pad"                   TopLayer    PAD-1.5MM                  578.361       477.049       90       "1mm SMT Test Pad"                                                                                                                           
SDA0       "Test Pad"                   TopLayer    PAD-1.5MM                  491.381       -495.615      90       "1mm SMT Test Pad"                                                                                                                           
SCL0       "Test Pad"                   TopLayer    PAD-1.5MM                  574.063       -477.386      90       "1mm SMT Test Pad"                                                                                                                           
GND1       "Test Pad"                   TopLayer    PAD-1.5MM                  738.627       438.237       90       "1mm SMT Test Pad"                                                                                                                           
GND0       "Test Pad"                   TopLayer    PAD-1.5MM                  736.720       -436.722      90       "1mm SMT Test Pad"                                                                                                                           
2V8B       "Test Pad"                   TopLayer    PAD-1.5MM                  654.207       -458.436      90       "1mm SMT Test Pad"                                                                                                                           
2V8A       "Test Pad"                   TopLayer    PAD-1.5MM                  898.677       -386.656      90       "1mm SMT Test Pad"                                                                                                                           
1V5        "Test Pad"                   TopLayer    PAD-1.5MM                  659.330       457.309       0        "1mm SMT Test Pad"                                                                                                                           
SDO        "Test Pad"                   TopLayer    PAD-1.5MM                  -719.317      -339.117      90       "1mm SMT Test Pad"                                                                                                                           
SDI        "Test Pad"                   TopLayer    PAD-1.5MM                  -643.004      -416.553      90       "1mm SMT Test Pad"                                                                                                                           
SCK        "Test Pad"                   TopLayer    PAD-1.5MM                  -563.976      -495.079      90       "1mm SMT Test Pad"                                                                                                                           
CS1        "Test Pad"                   TopLayer    PAD-1.5MM                  -483.127      -500.000      90       "1mm SMT Test Pad"                                                                                                                           
GND2       "Test Pad"                   TopLayer    PAD-1.5MM                  -403.930      -500.000      90       "1mm SMT Test Pad"                                                                                                                           
ToF4       DNM                          TopLayer    TOF_RIGHT_LEFT             58.937        -502.953      180      "ToF PCBs (DNM)"                                                                                                                             
ToF3       DNM                          TopLayer    TOF_RIGHT_LEFT             58.937        503.937       180      "ToF PCBs (DNM)"                                                                                                                             
ToF2       DNM                          BottomLayer TOF_FRONT_BACK             -808.071      0.788         90       "ToF PCBs (DNM)"                                                                                                                             
ToF1       DNM                          BottomLayer TOF_FRONT_BACK             1045.318      -24.795       90       "ToF PCBs (DNM)"                                                                                                                             
U10        PCA9534RGVR                  TopLayer    QFN65P400X400X100-17N-D    -94.488       -53.150       0        "Undefined or Miscellaneous"                                                                                                                 
R11        CRCW020110K0FNED             TopLayer    RESC0603X28X15LL05T05      0.422         -196.850      270      ""                                                                                                                                           
MD1        NINA-W102-01B                TopLayer    FP-NINA-W102-00B-00-MFG    -646.787      -2.630        270      "STAND-ALONE MULTIRADIO MODULES"                                                                                                             
